fiscal_year,jurisdiction,jurisdiction_type,total_investigations,fraud_investigations,abuse_neglect_investigations,total_indictments,fraud_indictments,abuse_neglect_indictments,total_convictions,fraud_convictions,abuse_neglect_convictions,civil_settlements_and_judgments,total_recoveries,total_criminal_recoveries,total_civil_recoveries,civil_recoveries_global,civil_recoveries_other,mfcu_grant_expenditures,total_medicaid_expenditures,staff_on_board
2015,Wisconsin,state,477,468,9,11,11,0,5,5,0,12,33550932,1547374,,2728557,29275001,1512865.30,8212122596,13
2015,Wyoming,state,60,57,3,2,2,0,3,2,1,8,44447.95,21012.97,,23434.98,0,475173.63,621092843,4
2016,Alabama,state,64,43,21,23,7,16,20,3,17,11,17034540.56,113177.61,,16921362.95,0,1379110.89,5657488854,8
2016,Alaska,state,141,140,1,18,18,0,29,29,0,11,3093089.09,1804184.94,,1288904.15,0,1394058.06,1929110081,10
2016,Arizona,state,171,133,38,76,46,30,75,61,14,11,10525171.97,6514601.37,,4010570.60,0,2770174.03,11343767402,21
2016,Arkansas,state,147,118,29,22,16,6,27,20,7,26,9266817.08,204921.71,,8085098.38,976796.99,2437991.92,6337245143,16
2016,California,state,1735,1169,566,231,147,84,173,98,75,32,136201028.20,27240288.20,,103375055.79,5585684.21,32469156.35,86608583280,185
2016,Colorado,state,226,223,3,7,7,0,12,12,0,97,14617469.88,899189.62,,9304300.20,4413980.06,2178699.12,8289970721,14
2016,Connecticut,state,82,81,1,3,3,0,6,6,0,19,20786362.71,63457.28,,18029856.99,2693048.44,2135726.26,7790671895,11
2016,Delaware,state,635,603,32,20,5,15,19,11,8,10,2012899.57,197533.59,,1615471.98,199894,1989706.11,2003364878,16
2016,District of Columbia,district,129,126,3,1,1,0,7,6,1,10,91207067.34,83344915.12,,1710849.71,6151302.51,2812204.81,2935002292,20
2016,Florida,state,664,606,58,78,61,17,51,41,10,21,165545717.54,101059813.13,,58413443.54,6072460.87,17316568.43,22457578621,156
2016,Georgia,state,495,479,16,19,17,2,15,14,1,18,31571209.76,2634624.42,,12686800.67,16249784.67,4719262.26,10283904205,44
2016,Hawaii,state,441,405,36,6,6,0,5,4,1,13,1856104.14,91071.14,,1765033,0,1622502.28,2271886352,14
2016,Idaho,state,116,110,6,3,3,0,3,3,0,9,2655165.53,15126.40,,2640039.13,0,833297.08,1794759439,7
2016,Illinois,state,329,281,48,71,53,18,57,46,11,13,35478915.47,4605086.16,,30223829.31,650000,7137131.01,20172293337,41
2016,Indiana,state,1745,1264,481,27,18,9,47,37,10,27,36928400.57,2739336.27,,32724220,1464844.30,6484688.25,10901014576,58
2016,Iowa,state,309,267,42,80,42,38,63,37,26,22,10656073.36,230694.52,,7023004.71,3402374.13,1133997.38,4914249752,10
2016,Kansas,state,158,141,17,6,6,0,7,7,0,11,9274992.24,47736.38,,8927255.86,300000,1337183.28,3421881490,14
2016,Kentucky,state,117,77,40,30,26,4,19,10,9,16,47635512.82,131734.91,,23279694.29,24224083.62,3415841.87,9893628407,30
2016,Louisiana,state,492,406,86,86,64,22,75,69,6,16,40374660,10770898,,18323027,11280735,5710826.44,8837228184,54
2016,Maine,state,88,74,14,9,2,7,3,0,3,12,24387068.48,650,,24386418.48,0,910641.36,2636443851,8
2016,Maryland,state,381,294,87,7,2,5,9,5,4,20,10396358.71,129969.28,,9930034.69,336354.74,3843664.37,10819233860,33
2016,Massachusetts,state,485,437,48,15,15,0,4,4,0,35,82844081.63,54616.44,,77975202.22,4814262.97,5394276,17865505404,40
2016,Michigan,state,511,472,39,19,14,5,24,14,10,26,32312718.31,191389.71,,30681103.63,1440224.97,5053298.80,17438676650,32
2016,Minnesota,state,397,392,5,65,62,3,42,42,0,12,26129644.93,1181413.30,,24945481.63,2750,2367286.76,11544958884,24
2016,Mississippi,state,527,101,426,54,14,40,64,6,58,14,19821843.83,7814577.54,,11476225.81,531040.48,3406068,5563413438,35
2016,Missouri,state,171,153,18,23,21,2,21,20,1,16,13494876.21,479804.01,,12488713.12,526359.08,2215565.57,10201941673,24
2016,Montana,state,55,46,9,7,4,3,6,4,2,13,1593763.19,45402.98,,1548360.21,0,679021.03,1446698958,6
2016,Nebraska,state,99,92,7,9,7,2,12,10,2,21,19443143.22,15080673.09,,3341351.18,1021118.95,934566.63,2092993865,9
2016,Nevada,state,417,413,4,14,14,0,14,14,0,15,2389470.66,593798.82,,1730171.84,65500,2093049.97,3520421319,19
2016,New Hampshire,state,66,32,34,2,0,2,1,0,1,9,2058998.72,8213.80,,2050784.92,0,770510.46,2076589333,8
2016,New Jersey,state,404,379,25,14,8,6,25,21,4,13,47320817.76,1269801.10,,46051016.66,0,3899420.07,15080356828,35
2016,New Mexico,state,184,181,3,6,6,0,6,6,0,15,6205202.93,50412.73,,3465867.27,2688922.93,2190670.51,5537037048,21
2016,New York,state,707,589,118,113,71,42,120,88,32,80,228866107.30,157846.26,,145266933.79,83441327.25,47018833,62909519309,298
2016,North Carolina,state,387,378,9,20,15,5,25,22,3,23,80416129.29,11875418.62,,63043468.74,5497241.93,5944944.05,12821165394,51
2016,Ohio,state,1460,1017,443,122,102,20,126,110,16,16,64010493.16,23031251.19,,40365343.40,613898.57,11278342.59,22485693773,94
2016,Oklahoma,state,254,206,48,37,28,9,25,15,10,16,21469406.63,1642635.83,,13974669.30,5852101.50,2433433.77,4698727448,23
2016,Oregon,state,94,87,7,30,28,2,30,24,6,13,10312943.89,937895.75,,8962548.14,412500,2380639.14,8814205907,16
2016,Pennsylvania,state,486,451,35,85,83,2,81,81,0,11,42140799.87,1722618.67,,40418181.20,0,7415937.35,28220307793,46
2016,Rhode Island,state,90,76,14,15,5,10,10,2,8,12,6373535.32,9003,,6090923.43,273608.89,1326222.62,2626681914,12
2016,South Carolina,state,195,146,49,13,6,7,15,9,6,16,16495835.27,793391.06,,15168292.52,534151.69,1704531.45,6230510941,16
2016,South Dakota,state,46,40,6,3,3,0,1,1,0,20,2319912.26,1094,,2009258.69,309559.57,438342.80,875472076,5
2016,Tennessee,state,273,242,31,35,22,13,40,21,19,22,105835520.75,1451882.92,,93223123.29,11160514.54,4828604.12,9928469426,36
2016,Texas,state,1367,1236,131,109,97,12,60,51,9,21,128257249.23,53618691.73,,73682086.46,956471.04,18832569.54,41068187142,165
2016,Utah,state,134,106,28,7,1,6,4,0,4,29,10033408,53620,,2123664,7856124,2056784.58,2251931573,13
2016,Vermont,state,61,53,8,10,8,2,16,15,1,17,7907487,271096,,6806872,829519,928834.98,1768236337,7
2016,Virginia,state,412,409,3,43,40,3,42,38,4,21,33889092.92,2499779.61,,25868432.97,5520880.34,11445452.13,8927198595,92
2016,Washington,state,201,193,8,7,6,1,10,9,1,17,55306210.80,122620.22,,52435512.58,2748078,4534668,11458035943,36
2016,West Virginia,state,158,143,15,20,19,1,10,6,4,21,5271731.59,488453.91,,3556154.46,1227123.22,1257636.87,3813616346,16
2016,Wisconsin,state,367,344,23,0,0,0,7,7,0,18,81071820,104688,,20967132,60000000,1342631.19,8026421926,12
