fiscal_year,jurisdiction,jurisdiction_type,total_investigations,fraud_investigations,abuse_neglect_investigations,total_indictments,fraud_indictments,abuse_neglect_indictments,total_convictions,fraud_convictions,abuse_neglect_convictions,civil_settlements_and_judgments,total_recoveries,total_criminal_recoveries,total_civil_recoveries,civil_recoveries_global,civil_recoveries_other,mfcu_grant_expenditures,total_medicaid_expenditures,staff_on_board
2025,Indiana,state,951,633,318,42,38,4,37,28,9,19,144624717.84,564914.69,,1938190.82,142121612.33,8992920,20451801865.63,56
2025,Iowa,state,275,231,44,42,20,22,37,8,29,10,2356291.18,128230.30,,1054068.56,1173992.32,1359821,8730795511,10
2025,Kansas,state,89,73,16,9,7,2,5,2,3,2,369231.23,258745.79,,110485.44,0,2219809,6499395021,16
2025,Kentucky,state,201,172,29,20,18,2,10,7,3,18,22037515.90,1009951.21,,4634546.33,16393018.36,5098879,20474891648,32
2025,Louisiana,state,580,472,108,28,13,15,60,44,16,18,17067306.55,12609490.16,,244072.26,4213744.13,9951037,15800467858,71
2025,Maine,state,49,30,19,2,0,2,3,0,3,6,343479.02,1000,,342479.02,0,1919296,5202740853,10
2025,Maryland,state,378,330,48,9,5,4,7,3,4,11,3353448.55,23911.55,,2192593.24,1136943.76,8520996,18707422995,46
2025,Massachusetts,state,492,449,43,27,26,1,21,19,2,31,139892852.19,108753658.63,,4047924.28,27091269.28,7595661,28725529750,39
2025,Michigan,state,489,427,62,16,9,7,19,10,9,27,17319947.35,186664.32,,3718852.18,13414430.85,6798542,27306729224,33
2025,Minnesota,state,202,187,15,50,49,1,38,36,2,8,24489409.04,3347296.60,,2564056.02,18578056.42,3029997,21425262865,31
2025,Mississippi,state,352,113,239,31,7,24,41,5,36,7,1171831.11,152249.02,,1018158.69,1423.40,4206137,7708650323,35
2025,Missouri,state,434,354,80,26,25,1,34,33,1,14,4507016.45,1730776.11,,1759670.11,1016570.23,2961340,17112335013,21
2025,Montana,state,51,48,3,7,6,1,1,1,0,8,711088.63,64642.93,,187570.88,458874.82,930818,2633116628,9
2025,Nebraska,state,69,51,18,1,0,1,7,6,1,7,1230809.55,206046.39,,158621.08,866142.08,1374481,4371961508,11
2025,Nevada,state,327,314,13,27,25,2,36,35,1,13,18522530.30,15775258.27,,2068933.89,678338.14,3212939,7313148496,20
2025,New Hampshire,state,53,49,4,2,1,1,7,6,1,5,356807.56,98113.60,,124249.01,134444.95,1015483,3067222160,6
2025,New Jersey,state,184,149,35,20,9,11,9,7,2,24,30779902.23,5670,,2170952.12,28603280.11,6971759,25938962820,39
2025,New Mexico,state,354,331,23,15,7,8,8,2,6,10,4939984.86,38278.31,,892790.58,4008915.97,4327657,10469835269,25
2025,New York,state,419,354,65,9,7,2,26,25,1,54,110479748.54,1666606.48,,19903766.11,88909375.95,60127440,102699327635,272
2025,North Carolina,state,370,360,10,5,3,2,7,5,2,11,16642399.22,8398952.81,,1000246.88,7243199.53,8700660,34499338580,57
2025,North Dakota,state,79,59,20,5,4,1,3,2,1,6,1873182.81,1542974.94,,22528.85,307679.02,1335345,1779879134,8
2025,Ohio,state,1058,797,261,149,93,56,108,64,44,38,25781577.92,20691155.94,,1820592.14,3269829.84,18598752,38633859310,106
2025,Oklahoma,state,391,316,75,21,15,6,17,9,8,12,2902279.96,630472.93,,650165,1621642.03,3913945,10764531356,29
2025,Oregon,state,76,69,7,12,11,1,6,2,4,13,13651360.76,25184.47,,544317.77,13081858.52,4761446,18871621324,20
2025,Pennsylvania,state,644,535,109,115,109,6,115,107,8,9,41102003.33,34871054.96,,4366914.96,1864033.41,12669975,49525316416,72
2025,Puerto Rico,territory,84,59,25,2,2,0,5,2,3,12,1320692.35,68801.54,,9376.44,1242514.37,1161430,4869537105,15
2025,Rhode Island,state,131,115,16,7,1,6,8,2,6,6,1582526.60,29490.73,,1550949.75,2086.12,1306842,4293750650,10
2025,South Carolina,state,169,70,99,43,19,24,30,6,24,10,22100695.93,665807.40,,993422,20441466.53,3722700,10266023300,23
2025,South Dakota,state,142,62,80,3,1,2,14,6,8,2,225578.04,208477.40,,5833.38,11267.26,1011812,1863929509,9
2025,Tennessee,state,206,162,44,36,18,18,28,18,10,10,16738706.73,7169308.16,,2191053.87,7378344.70,12695439,17782976844,64
2025,Texas,state,652,601,51,197,156,41,80,75,5,9,151926473.65,147359876.43,,2788299.67,1778297.55,27581869,54954650308,146
2025,U.S. Virgin Islands,territory,27,25,2,0,0,0,0,0,0,1,1171.06,0,,1171.06,0,175048,104693756,5
2025,Utah,state,139,103,36,15,2,13,8,3,5,8,2727899.17,1877420.36,,90203.81,760275,4250065,5320171956,22
2025,Vermont,state,96,45,51,12,8,4,12,7,5,5,3052717,146127,,30607,2875983,1709830,2425399608,9
2025,Virginia,state,265,262,3,75,55,20,32,29,3,20,671436386.89,662846838.61,,809154.65,7780393.63,15504864,23020073906,95
2025,Washington,state,515,474,41,15,15,0,16,15,1,12,45117253.27,839365.64,,40320157.99,3957729.64,13876463,23122567069,61
2025,West Virginia,state,181,175,6,0,0,0,4,2,2,7,1829578.50,23128.50,,596682.66,1209767.34,2722613,5872002604,22
2025,Wisconsin,state,126,120,6,16,13,3,5,5,0,6,1918593,8118,,1910475,0,2237204,13822805529,14
2025,Wyoming,state,65,62,3,5,5,0,1,1,0,6,1525358.07,416577,,86546.21,1022234.86,632223,846575653,4
