fiscal_year,jurisdiction,has_observed_data,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2019,Maryland,yes,12254470541,4646294.61,7019613.67,39
2019,Massachusetts,yes,18639531025,5400900,23271440.68,38
2019,Michigan,yes,18989101820,5655914.73,7002961.96,30
2019,Minnesota,yes,13518929211,3234446.61,13090914.49,26
2019,Mississippi,yes,5681438980,3467753,2532776.43,37
2019,Missouri,yes,10910423751,2369439.56,28131754.26,24
2019,Montana,yes,1952049204,838729.26,712384.56,7
2019,Nebraska,yes,2265518681,1154465.92,3163720.07,10
2019,Nevada,yes,4179456063,2447237.89,9685725.05,17
2019,New Hampshire,yes,2127338051,857822.41,772524.22,8
2019,New Jersey,yes,16850013509,3976715.15,9710267.54,30
2019,New Mexico,yes,5491501664,2829421.55,1373807.14,21
2019,New York,yes,60209122828,51800854.76,68147253.35,293
2019,North Carolina,yes,14386105626,5143054.65,32661955.92,44
2019,North Dakota,no,,,,
2019,Ohio,yes,24509097994,13009113.01,31268289.32,97
2019,Oklahoma,yes,4964532785,2349293.05,17257749.38,25
2019,Oregon,yes,9938323199,2974379.77,1391582.08,14
2019,Pennsylvania,yes,32960926112,9871366.92,4734602.12,68
2019,Rhode Island,yes,2765235479,1197511.29,702204.29,10
2019,South Carolina,yes,6679680576,1709809.41,3390937.45,16
2019,South Dakota,yes,949408952,458162.73,464043.69,5
2019,Tennessee,yes,10784219341,5366355.85,48499105.77,41
2019,Texas,yes,41485923108,23810780.36,155988735.44,164
2019,Utah,yes,2901053155,2135412,3610942,11
2019,Vermont,yes,1802147573,1016671,1279198,8
2019,Virginia,yes,5230112639,12427380,949535331.85,96
2019,Washington,yes,10545245320,7245808,10715081.14,51
2019,West Virginia,yes,4109125440,1198608.41,19552517.66,13
2019,Wisconsin,yes,9525056580,1675894.61,28697472.44,12
2019,Wyoming,yes,661612272,377147.07,6769167.46,3
2020,Alabama,yes,6310773261,1450807,4873356,10
2020,Alaska,yes,2188557009,1895090,3464347,12
2020,Arizona,yes,14671982216,3808250,15525961,26
2020,Arkansas,yes,7080208079,2902425,2460721,22
2020,California,yes,103886573080,43421451,56983518,185
