fiscal_year,jurisdiction,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2019,Alaska,2243669019,1671222.64,2609761,12
2019,Arizona,13482090704,3949181.56,7541097.83,27
2019,Arkansas,7243622415,2676551.20,5335184.54,22
2019,California,94100410374,44861807.10,54573806.52,199
2019,Colorado,9526143614,2166337.93,22837463.33,16
2019,Connecticut,8530550005,2418252.52,8561937.22,13
2019,Delaware,2346881663,2197955.92,6749580.93,17
2019,Florida,25128795104,17734741.21,81248447.63,149
2019,Georgia,11430130311,4797058.25,13086030.78,40
2019,Hawaii,2280727854,2181841.50,4523470.09,16
2019,Idaho,2266387357,927043.10,1983968.24,9
2019,Illinois,19359536579,8004722.08,146283349.91,44
2019,Indiana,12994381229,7642679.59,16417013.84,58
2019,Iowa,5352358555,1224729.09,3527889.70,8
2019,Kansas,3799701074,1584083.66,4756685.96,16
2019,Kentucky,10510327124,3536582.60,26333549.02,30
2019,Louisiana,12047327141,7627551.14,17967360.29,64
2019,Maine,3018999938,1176066.15,207565.36,9
2019,Maryland,12254470541,4646294.61,7019613.67,39
2019,Massachusetts,18639531025,5400900,23271440.68,38
2019,Michigan,18989101820,5655914.73,7002961.96,30
2019,Minnesota,13518929211,3234446.61,13090914.49,26
2019,Mississippi,5681438980,3467753,2532776.43,37
2019,Missouri,10910423751,2369439.56,28131754.26,24
2019,Montana,1952049204,838729.26,712384.56,7
2019,Nebraska,2265518681,1154465.92,3163720.07,10
2019,Nevada,4179456063,2447237.89,9685725.05,17
2019,New Hampshire,2127338051,857822.41,772524.22,8
2019,New Jersey,16850013509,3976715.15,9710267.54,30
2019,New Mexico,5491501664,2829421.55,1373807.14,21
2019,New York,60209122828,51800854.76,68147253.35,293
2019,North Carolina,14386105626,5143054.65,32661955.92,44
2019,Ohio,24509097994,13009113.01,31268289.32,97
2019,Oklahoma,4964532785,2349293.05,17257749.38,25
2019,Oregon,9938323199,2974379.77,1391582.08,14
2019,Pennsylvania,32960926112,9871366.92,4734602.12,68
2019,Rhode Island,2765235479,1197511.29,702204.29,10
2019,South Carolina,6679680576,1709809.41,3390937.45,16
2019,South Dakota,949408952,458162.73,464043.69,5
2019,Tennessee,10784219341,5366355.85,48499105.77,41
2019,Texas,41485923108,23810780.36,155988735.44,164
2019,Utah,2901053155,2135412,3610942,11
2019,Vermont,1802147573,1016671,1279198,8
2019,Virginia,5230112639,12427380,949535331.85,96
2019,Washington,10545245320,7245808,10715081.14,51
2019,West Virginia,4109125440,1198608.41,19552517.66,13
2019,Wisconsin,9525056580,1675894.61,28697472.44,12
2019,Wyoming,661612272,377147.07,6769167.46,3
2020,Alabama,6310773261,1450807,4873356,10
2020,Alaska,2188557009,1895090,3464347,12
2020,Arizona,14671982216,3808250,15525961,26
2020,Arkansas,7080208079,2902425,2460721,22
2020,California,103886573080,43421451,56983518,185
2020,Colorado,10111347066,2569759,4751573,20
2020,Connecticut,8828397755,2615312,24599831,11
2020,Delaware,2457762125,2190363,4077365,17
2020,Florida,25934002549,17516441,15479391,137
2020,Georgia,11824015543,5015516,23697695,46
2020,Hawaii,2431846083,2031137,694731,14
2020,Idaho,2615497366,870155,233355,9
2020,Illinois,23327206246,8640571,28889705,42
2020,Indiana,14782137306,7873145,16089126,59
2020,Iowa,5963241908,1051704,3894120,7
2020,Kansas,4058615572,1812979,850540,15
2020,Kentucky,12190888589,3915670,32965744,29
2020,Louisiana,12905575681,7830383,19904196,67
2020,Maine,3355498470,1270805,16084974,9
2020,Maryland,12425976656,5258795,35106576,35
2020,Massachusetts,18927715647,6110567,50208325,38
2020,Michigan,19779677237,5419593,15567043,31
2020,Minnesota,14364508821,3211651,10542342,25
2020,Mississippi,5769034193,3186244,3917355,35
2020,Missouri,11335088386,2453267,9459042,22
2020,Montana,2094512201,678503,812998,6
2020,Nebraska,2458632699,1227186,1552196,10
2020,Nevada,4315178538,2486381,5157562,17
2020,New Hampshire,2370525838,798163,2303324,6
2020,New Jersey,17475504898,3973143,17105221,29
2020,New Mexico,6584282166,2711628,6449922,22
2020,New York,72816196684,50111036,181015314,267
2020,North Carolina,15607811031,5668883,27871589,48
2020,North Dakota,1374445441,698171,184015,5
2020,Ohio,26187237969,13701708,75341136,104
2020,Oklahoma,5173834353,2311631,20626562,25
2020,Oregon,11197091390,2565874,2017947,14
2020,Pennsylvania,36002255104,10699497,60620845,72
2020,Rhode Island,2961434109,1255423,5868498,10
2020,South Carolina,7031608207,1615842,8104192,14
2020,South Dakota,982499940,479276,810831,5
2020,Tennessee,12258135031,7826023,44456267,59
2020,Texas,43297652683,21655107,74435337,161
2020,Utah,3264010842,2351573,2473344,15
2020,Vermont,1795293573,957670,11733234,6
2020,Virginia,10378177032,11483807,28546778,92
2020,Washington,14577570938,8427268,12778764,55
2020,West Virginia,4294691890,1290508,14887448,19
2020,Wisconsin,9846290921,1431179,16443724,10
2020,Wyoming,692031455,443354,849322,4
2021,Alabama,6830948902,1489864.74,3547133.22,10
2021,Alaska,2301389622,1683157.58,2510076.10,12
2021,Arizona,17907764164,4188609.56,2843073.29,28
2021,Arkansas,7659817684,2835246.13,8090180.14,22
2021,California,115690408869,44307262.15,72973624.08,186
2021,Colorado,11185618422,2918882.90,7743642.33,20
2021,Connecticut,7311806873,2435107.16,12652680.19,13
2021,Delaware,2514092363,2173063.95,734355.38,17
